Title,Type,Finishing,Location,City,Area,Beds,Baths,Price,Price_per_sqm,URL
Property 422,Apartment,Unknown,Maadi,Cairo,252 sqm,3,3,"7,039,214 EGP",20730.014356892432,https://example.com/property/422
Property 423,Apartment,Semi Finished,Giza,Suez,489 sqm,2,2,"7,612,635 EGP",49973.45119934017,https://example.com/property/423
Property 424,Apartment,Unknown,New Cairo,Giza,96 sqm,4,3,"2,524,850 EGP",17013.3696550744,https://example.com/property/424
Property 425,Townhouse,Semi Finished,Cairo,Suez,296 sqm,4,4,"8,738,184 EGP",10404.577266433433,https://example.com/property/425
Property 426,Villa,Fully Finished,Cairo,Giza,490 sqm,5,3,"9,580,509 EGP",15952.34858072704,https://example.com/property/426
Property 427,Apartment,Semi Finished,Cairo,Cairo,299 sqm,4,4,"2,748,795 EGP",41034.89158176507,https://example.com/property/427
Property 428,Villa,Fully Finished,New Cairo,Suez,135 sqm,2,4,"8,884,846 EGP",27871.34706032846,https://example.com/property/428
Property 429,Townhouse,Unknown,New Cairo,Suez,311 sqm,2,4,"1,421,298 EGP",27900.009912417132,https://example.com/property/429
Property 430,Townhouse,Unknown,Sheikh Zayed,Cairo,141 sqm,3,2,"1,029,214 EGP",48200.91678446674,https://example.com/property/430
Property 431,Townhouse,Unknown,Giza,Suez,283 sqm,3,3,"1,727,626 EGP",46785.39632112297,https://example.com/property/431
Property 432,Apartment,Semi Finished,Sheikh Zayed,North Coast,83 sqm,3,3,"1,048,540 EGP",22447.789512160365,https://example.com/property/432
Property 433,Villa,Fully Finished,Giza,Giza,322 sqm,4,1,"8,527,616 EGP",18362.325151234647,https://example.com/property/433
Property 434,Villa,Unknown,New Cairo,Giza,282 sqm,4,1,"1,060,976 EGP",43939.288397349585,https://example.com/property/434
Property 435,Villa,Unknown,New Cairo,Giza,383 sqm,5,1,"3,080,809 EGP",46240.76284177453,https://example.com/property/435
Property 436,Townhouse,Fully Finished,Sheikh Zayed,North Coast,333 sqm,3,1,"1,485,685 EGP",31663.87691193948,https://example.com/property/436
Property 437,Apartment,Unknown,Maadi,Giza,297 sqm,1,3,"3,306,509 EGP",35176.94844468402,https://example.com/property/437
Property 438,Townhouse,Fully Finished,Sheikh Zayed,Cairo,360 sqm,5,4,"1,360,314 EGP",20276.571387691736,https://example.com/property/438
Property 439,Townhouse,Fully Finished,Giza,Suez,114 sqm,1,4,"6,846,030 EGP",42032.107519140984,https://example.com/property/439
Property 440,Villa,Fully Finished,Sheikh Zayed,North Coast,317 sqm,4,2,"1,766,604 EGP",35284.89713796093,https://example.com/property/440
Property 441,Townhouse,Fully Finished,Cairo,Giza,127 sqm,5,4,"8,592,536 EGP",30140.540451919864,https://example.com/property/441
Property 442,Villa,Fully Finished,Giza,Cairo,466 sqm,5,3,"8,263,314 EGP",12404.342243135834,https://example.com/property/442
Property 443,Apartment,Semi Finished,Giza,Suez,80 sqm,2,3,"629,786 EGP",46637.39850044615,https://example.com/property/443
Property 444,Villa,Unknown,Maadi,Suez,243 sqm,4,3,"9,009,400 EGP",34618.05681537624,https://example.com/property/444
Property 445,Apartment,Semi Finished,New Cairo,North Coast,363 sqm,4,2,"774,971 EGP",17707.64378771872,https://example.com/property/445
Property 446,Villa,Unknown,Giza,North Coast,256 sqm,5,1,"2,776,634 EGP",34255.444679322114,https://example.com/property/446
Property 447,Townhouse,Semi Finished,New Cairo,North Coast,91 sqm,4,4,"807,696 EGP",37098.534169598934,https://example.com/property/447
Property 448,Townhouse,Fully Finished,Sheikh Zayed,Cairo,299 sqm,5,3,"3,690,513 EGP",31030.81346732902,https://example.com/property/448
Property 449,Apartment,Unknown,Cairo,Cairo,338 sqm,2,3,"5,381,731 EGP",38724.069518240896,https://example.com/property/449
Property 450,Apartment,Unknown,Maadi,North Coast,366 sqm,5,1,"8,068,126 EGP",33258.15791714497,https://example.com/property/450
Property 451,Apartment,Semi Finished,New Cairo,Giza,217 sqm,4,3,"3,710,824 EGP",47910.78328128593,https://example.com/property/451
Property 452,Villa,Semi Finished,Giza,Suez,303 sqm,4,4,"7,202,155 EGP",12147.883143972274,https://example.com/property/452
Property 453,Villa,Unknown,New Cairo,Suez,252 sqm,5,2,"2,281,292 EGP",14249.82833878242,https://example.com/property/453
Property 454,Apartment,Semi Finished,Giza,Cairo,352 sqm,5,3,"7,630,685 EGP",16946.865478173593,https://example.com/property/454
Property 455,Townhouse,Semi Finished,New Cairo,Suez,312 sqm,5,4,"2,741,967 EGP",37606.84282417329,https://example.com/property/455
Property 456,Villa,Semi Finished,Giza,Giza,286 sqm,3,3,"1,863,675 EGP",35823.83490999235,https://example.com/property/456
Property 457,Villa,Fully Finished,Sheikh Zayed,Suez,162 sqm,4,1,"2,261,384 EGP",45682.354408387764,https://example.com/property/457
Property 458,Villa,Fully Finished,Giza,Cairo,50 sqm,4,3,"2,229,599 EGP",39315.09811535594,https://example.com/property/458
Property 459,Apartment,Semi Finished,Giza,Cairo,128 sqm,3,3,"5,372,197 EGP",30334.21950258369,https://example.com/property/459
Property 460,Apartment,Semi Finished,Cairo,Giza,102 sqm,5,2,"8,525,577 EGP",49673.27169854521,https://example.com/property/460
Property 461,Apartment,Fully Finished,Giza,Giza,252 sqm,2,1,"1,256,248 EGP",20644.318246771967,https://example.com/property/461
Property 462,Apartment,Fully Finished,Cairo,Suez,325 sqm,5,1,"7,216,085 EGP",43327.666391418155,https://example.com/property/462
Property 463,Apartment,Unknown,Maadi,Suez,145 sqm,5,2,"6,716,291 EGP",27071.614887756776,https://example.com/property/463
Property 464,Townhouse,Unknown,Cairo,Cairo,472 sqm,3,3,"8,788,939 EGP",35949.40555502937,https://example.com/property/464
Property 465,Townhouse,Fully Finished,Sheikh Zayed,Giza,53 sqm,4,4,"2,819,401 EGP",39090.738818097365,https://example.com/property/465
Property 466,Apartment,Semi Finished,Cairo,Giza,397 sqm,5,1,"4,776,043 EGP",35350.16348761345,https://example.com/property/466
Property 467,Villa,Semi Finished,Maadi,Giza,331 sqm,4,1,"9,295,360 EGP",15620.29212434373,https://example.com/property/467
Property 468,Apartment,Semi Finished,Sheikh Zayed,Suez,218 sqm,1,3,"6,769,937 EGP",27718.04042991731,https://example.com/property/468
Property 469,Townhouse,Semi Finished,New Cairo,Giza,72 sqm,4,3,"4,193,299 EGP",32457.535117324973,https://example.com/property/469
Property 470,Townhouse,Unknown,New Cairo,Cairo,332 sqm,2,1,"1,748,417 EGP",43961.75036714387,https://example.com/property/470
Property 471,Villa,Fully Finished,Cairo,Cairo,223 sqm,2,3,"2,993,607 EGP",27745.829951942895,https://example.com/property/471
Property 472,Townhouse,Semi Finished,Cairo,Suez,471 sqm,5,4,"6,021,547 EGP",46749.89219217006,https://example.com/property/472
Property 473,Apartment,Unknown,Maadi,North Coast,293 sqm,4,1,"7,322,595 EGP",27614.968921008425,https://example.com/property/473
Property 474,Villa,Semi Finished,Maadi,Suez,472 sqm,5,4,"1,682,007 EGP",31951.194370520465,https://example.com/property/474
Property 475,Apartment,Fully Finished,Giza,North Coast,149 sqm,3,4,"6,196,173 EGP",41851.42731771204,https://example.com/property/475
Property 476,Apartment,Unknown,Maadi,Giza,376 sqm,2,3,"5,728,337 EGP",33322.707376885744,https://example.com/property/476
Property 477,Villa,Fully Finished,Giza,Suez,327 sqm,5,4,"5,382,576 EGP",48408.72289531299,https://example.com/property/477
Property 478,Apartment,Fully Finished,Sheikh Zayed,Cairo,382 sqm,3,3,"7,056,169 EGP",36413.4332205651,https://example.com/property/478
Property 479,Townhouse,Unknown,Cairo,Giza,146 sqm,5,2,"8,455,771 EGP",30908.37816270404,https://example.com/property/479
Property 480,Apartment,Unknown,Sheikh Zayed,Cairo,349 sqm,4,3,"3,568,401 EGP",10943.678711231834,https://example.com/property/480
Property 481,Villa,Unknown,Maadi,Giza,274 sqm,4,4,"8,945,615 EGP",26549.31590321319,https://example.com/property/481
Property 482,Villa,Unknown,Sheikh Zayed,Suez,384 sqm,4,2,"2,026,019 EGP",21969.936770406417,https://example.com/property/482
Property 483,Villa,Unknown,Sheikh Zayed,North Coast,197 sqm,4,3,"2,143,726 EGP",39924.226715499564,https://example.com/property/483
Property 484,Apartment,Unknown,Sheikh Zayed,Giza,450 sqm,1,4,"3,034,334 EGP",18331.10700614183,https://example.com/property/484
Property 485,Villa,Unknown,Maadi,North Coast,87 sqm,3,1,"1,635,543 EGP",18208.803491762872,https://example.com/property/485
Property 486,Villa,Semi Finished,Sheikh Zayed,Giza,413 sqm,3,1,"2,688,032 EGP",17580.761729495072,https://example.com/property/486
Property 487,Apartment,Fully Finished,Giza,Cairo,437 sqm,4,3,"1,510,911 EGP",15024.624526249438,https://example.com/property/487
Property 488,Townhouse,Unknown,Maadi,Cairo,417 sqm,1,3,"8,306,647 EGP",22440.280146835496,https://example.com/property/488
Property 489,Apartment,Semi Finished,Sheikh Zayed,Giza,280 sqm,4,1,"1,820,205 EGP",45436.884577737,https://example.com/property/489
Property 490,Villa,Semi Finished,Maadi,North Coast,247 sqm,1,4,"7,599,326 EGP",40997.1388922382,https://example.com/property/490
Property 491,Villa,Semi Finished,New Cairo,Suez,498 sqm,4,4,"955,181 EGP",39410.04865227174,https://example.com/property/491
Property 492,Apartment,Fully Finished,Giza,Suez,153 sqm,2,4,"9,510,943 EGP",41893.47222599851,https://example.com/property/492
Property 493,Townhouse,Unknown,Sheikh Zayed,Cairo,296 sqm,2,3,"7,256,020 EGP",20776.715573182868,https://example.com/property/493
Property 494,Villa,Semi Finished,New Cairo,Suez,351 sqm,5,2,"564,567 EGP",45497.66763009951,https://example.com/property/494
Property 495,Villa,Fully Finished,New Cairo,Cairo,365 sqm,4,2,"7,756,636 EGP",15492.135005664175,https://example.com/property/495
Property 496,Villa,Fully Finished,Maadi,Suez,141 sqm,3,2,"5,383,778 EGP",23453.82906862328,https://example.com/property/496
Property 497,Apartment,Fully Finished,New Cairo,Giza,344 sqm,5,2,"7,903,969 EGP",33469.92475869371,https://example.com/property/497
Property 498,Villa,Semi Finished,Giza,Cairo,418 sqm,2,2,"5,463,719 EGP",14116.203533680025,https://example.com/property/498
Property 499,Townhouse,Unknown,Giza,Cairo,72 sqm,4,3,"6,589,736 EGP",39205.207511057,https://example.com/property/499
Property 500,Villa,Semi Finished,Cairo,Giza,460 sqm,5,3,"7,970,150 EGP",25489.841928138998,https://example.com/property/500
Property 501,Villa,Semi Finished,Giza,Cairo,63 sqm,4,2,"4,348,526 EGP",41376.226624336006,https://example.com/property/501
Property 502,Townhouse,Unknown,New Cairo,Suez,210 sqm,2,3,"525,727 EGP",29715.85142338411,https://example.com/property/502
Property 503,Villa,Unknown,Giza,Suez,57 sqm,5,3,"8,574,491 EGP",17234.980977013453,https://example.com/property/503
Property 504,Apartment,Unknown,Maadi,Cairo,84 sqm,2,2,"4,118,458 EGP",39390.47245421377,https://example.com/property/504
Property 505,Apartment,Fully Finished,Cairo,Suez,460 sqm,1,4,"5,212,405 EGP",20085.758233557743,https://example.com/property/505
Property 506,Apartment,Unknown,New Cairo,North Coast,209 sqm,2,3,"573,783 EGP",29632.412050721712,https://example.com/property/506
Property 507,Townhouse,Semi Finished,Cairo,Cairo,241 sqm,4,4,"5,174,874 EGP",13021.330766276304,https://example.com/property/507
Property 508,Villa,Unknown,New Cairo,Giza,146 sqm,3,3,"9,871,630 EGP",34714.66617648146,https://example.com/property/508
Property 509,Apartment,Semi Finished,Maadi,North Coast,318 sqm,2,3,"3,143,542 EGP",36634.31064865109,https://example.com/property/509
Property 510,Townhouse,Fully Finished,Cairo,Cairo,317 sqm,3,2,"4,256,473 EGP",25146.96839891134,https://example.com/property/510
Property 511,Villa,Semi Finished,Sheikh Zayed,Giza,217 sqm,1,3,"7,028,304 EGP",48176.911212842955,https://example.com/property/511
Property 512,Townhouse,Semi Finished,New Cairo,Suez,199 sqm,5,1,"8,240,539 EGP",44966.75685928274,https://example.com/property/512
Property 513,Apartment,Unknown,Sheikh Zayed,Giza,448 sqm,5,1,"4,465,220 EGP",38317.63662959979,https://example.com/property/513
Property 514,Apartment,Unknown,Cairo,North Coast,222 sqm,3,2,"3,441,854 EGP",38546.082979749706,https://example.com/property/514
Property 515,Apartment,Semi Finished,Sheikh Zayed,Suez,272 sqm,5,4,"9,409,345 EGP",20096.068597686048,https://example.com/property/515
Property 516,Townhouse,Unknown,Sheikh Zayed,Cairo,177 sqm,2,4,"6,932,877 EGP",36272.609243537954,https://example.com/property/516
Property 517,Townhouse,Fully Finished,Cairo,Suez,404 sqm,3,4,"1,630,702 EGP",17928.250609420786,https://example.com/property/517
Property 518,Apartment,Fully Finished,Maadi,Cairo,228 sqm,4,1,"1,154,814 EGP",15760.128956792885,https://example.com/property/518
Property 519,Townhouse,Unknown,Sheikh Zayed,Cairo,281 sqm,2,4,"5,093,723 EGP",49978.71576810321,https://example.com/property/519
Property 520,Apartment,Fully Finished,Sheikh Zayed,Giza,164 sqm,2,4,"2,590,855 EGP",34895.03725892697,https://example.com/property/520
Property 521,Apartment,Unknown,Maadi,Giza,494 sqm,2,2,"2,912,855 EGP",27239.51490628762,https://example.com/property/521
Property 522,Villa,Semi Finished,Sheikh Zayed,Giza,181 sqm,4,4,"8,838,075 EGP",21526.580915358056,https://example.com/property/522
Property 523,Townhouse,Semi Finished,Sheikh Zayed,North Coast,396 sqm,1,1,"1,350,877 EGP",34156.8177464891,https://example.com/property/523
Property 524,Apartment,Fully Finished,Sheikh Zayed,North Coast,242 sqm,5,1,"7,295,959 EGP",11983.740328803446,https://example.com/property/524
Property 525,Apartment,Unknown,Giza,Giza,142 sqm,3,1,"3,075,851 EGP",13787.239620191802,https://example.com/property/525
Property 526,Townhouse,Unknown,Maadi,North Coast,409 sqm,1,2,"7,723,118 EGP",11314.267909615854,https://example.com/property/526
Property 527,Villa,Fully Finished,Sheikh Zayed,Suez,200 sqm,3,2,"7,362,908 EGP",29966.79333050647,https://example.com/property/527
Property 528,Villa,Semi Finished,Maadi,Suez,439 sqm,5,3,"570,223 EGP",34024.265167487305,https://example.com/property/528
Property 529,Apartment,Fully Finished,New Cairo,North Coast,461 sqm,4,4,"5,336,786 EGP",12499.190454312833,https://example.com/property/529
Property 530,Townhouse,Semi Finished,New Cairo,North Coast,436 sqm,2,2,"1,823,535 EGP",38848.97869995666,https://example.com/property/530
Property 531,Villa,Unknown,Sheikh Zayed,Suez,65 sqm,2,1,"8,729,156 EGP",19215.802860582575,https://example.com/property/531
Property 532,Townhouse,Semi Finished,Maadi,Cairo,404 sqm,4,1,"8,780,065 EGP",37408.05815079465,https://example.com/property/532
Property 533,Townhouse,Fully Finished,Maadi,Suez,235 sqm,1,2,"4,474,285 EGP",49275.88560140983,https://example.com/property/533
Property 534,Apartment,Unknown,Maadi,Suez,443 sqm,1,2,"4,721,758 EGP",37644.234802154046,https://example.com/property/534
Property 535,Villa,Fully Finished,Giza,North Coast,337 sqm,3,2,"3,381,187 EGP",45327.72211694434,https://example.com/property/535
Property 536,Apartment,Fully Finished,New Cairo,Suez,425 sqm,4,3,"7,307,759 EGP",47927.9402697227,https://example.com/property/536
Property 537,Villa,Semi Finished,Maadi,North Coast,274 sqm,1,1,"3,907,282 EGP",29470.04193409262,https://example.com/property/537
Property 538,Villa,Fully Finished,Maadi,North Coast,290 sqm,4,3,"3,044,028 EGP",38092.999176788275,https://example.com/property/538
Property 539,Villa,Semi Finished,Giza,Giza,114 sqm,5,3,"4,606,195 EGP",44078.77014223367,https://example.com/property/539
Property 540,Villa,Unknown,Giza,Suez,402 sqm,2,4,"1,369,131 EGP",24264.356514975443,https://example.com/property/540
Property 541,Villa,Semi Finished,Maadi,Cairo,238 sqm,2,1,"7,592,730 EGP",20455.892662415798,https://example.com/property/541
Property 542,Townhouse,Unknown,Cairo,Giza,275 sqm,2,1,"619,665 EGP",47863.94291113355,https://example.com/property/542
Property 543,Apartment,Semi Finished,Maadi,North Coast,403 sqm,4,2,"6,622,608 EGP",39052.14001475272,https://example.com/property/543
Property 544,Townhouse,Fully Finished,Maadi,North Coast,319 sqm,4,2,"2,237,213 EGP",18787.285335033055,https://example.com/property/544
Property 545,Villa,Semi Finished,Giza,Cairo,140 sqm,3,4,"2,707,838 EGP",27963.335707044538,https://example.com/property/545
Property 546,Apartment,Semi Finished,Giza,North Coast,315 sqm,2,3,"6,538,503 EGP",41858.070781512375,https://example.com/property/546
Property 547,Villa,Unknown,Maadi,Suez,233 sqm,3,2,"9,932,962 EGP",31882.519636737685,https://example.com/property/547
Property 548,Apartment,Fully Finished,Maadi,Giza,261 sqm,2,2,"7,888,316 EGP",35998.08392663556,https://example.com/property/548
Property 549,Townhouse,Semi Finished,Maadi,North Coast,62 sqm,3,1,"2,645,476 EGP",40150.728081802095,https://example.com/property/549
Property 550,Apartment,Fully Finished,Giza,North Coast,144 sqm,3,1,"2,172,235 EGP",34880.367552359225,https://example.com/property/550
Property 551,Apartment,Semi Finished,Maadi,Cairo,176 sqm,5,2,"8,729,212 EGP",31603.17287688783,https://example.com/property/551
Property 552,Apartment,Semi Finished,Maadi,Suez,370 sqm,3,1,"4,719,747 EGP",39984.57137551094,https://example.com/property/552
Property 553,Apartment,Fully Finished,Sheikh Zayed,North Coast,55 sqm,4,4,"1,802,001 EGP",39102.52141728802,https://example.com/property/553
Property 554,Apartment,Semi Finished,Cairo,Cairo,233 sqm,3,2,"8,691,008 EGP",35194.89600732716,https://example.com/property/554
Property 555,Villa,Fully Finished,New Cairo,North Coast,465 sqm,2,1,"8,252,877 EGP",24391.576535277185,https://example.com/property/555
Property 556,Apartment,Semi Finished,Cairo,Cairo,100 sqm,3,4,"9,847,110 EGP",26232.483688010863,https://example.com/property/556
Property 557,Apartment,Unknown,Sheikh Zayed,Cairo,282 sqm,1,1,"9,142,565 EGP",48817.5419553639,https://example.com/property/557
Property 558,Townhouse,Fully Finished,New Cairo,Suez,403 sqm,2,1,"8,592,008 EGP",14495.437291661034,https://example.com/property/558
Property 559,Apartment,Semi Finished,Maadi,North Coast,474 sqm,1,1,"999,456 EGP",20740.196690113415,https://example.com/property/559
Property 560,Townhouse,Semi Finished,Sheikh Zayed,Suez,386 sqm,2,2,"1,491,946 EGP",29696.070368173427,https://example.com/property/560
Property 561,Villa,Unknown,Maadi,Cairo,374 sqm,4,3,"5,905,340 EGP",43469.187445751435,https://example.com/property/561
Property 562,Apartment,Fully Finished,Giza,Giza,421 sqm,4,1,"5,549,052 EGP",16547.026549189115,https://example.com/property/562
Property 563,Townhouse,Semi Finished,Sheikh Zayed,North Coast,250 sqm,4,4,"4,850,650 EGP",21078.184724984392,https://example.com/property/563
Property 564,Townhouse,Unknown,Giza,Giza,412 sqm,1,2,"4,269,498 EGP",12631.92871180956,https://example.com/property/564
Property 565,Villa,Semi Finished,Sheikh Zayed,North Coast,53 sqm,5,2,"4,596,499 EGP",38239.41064203274,https://example.com/property/565
Property 566,Apartment,Fully Finished,Sheikh Zayed,Suez,466 sqm,2,4,"5,908,330 EGP",19528.377419024648,https://example.com/property/566
Property 567,Apartment,Semi Finished,Giza,Suez,249 sqm,4,1,"519,726 EGP",25546.99002683802,https://example.com/property/567
Property 568,Townhouse,Semi Finished,New Cairo,Suez,299 sqm,2,3,"2,976,733 EGP",27748.057881186713,https://example.com/property/568
Property 569,Apartment,Semi Finished,Cairo,Suez,164 sqm,1,1,"5,423,657 EGP",45652.55742425823,https://example.com/property/569
Property 570,Townhouse,Semi Finished,Maadi,Suez,384 sqm,5,4,"7,361,052 EGP",26453.211613249474,https://example.com/property/570
Property 571,Apartment,Unknown,Sheikh Zayed,Giza,84 sqm,1,2,"2,154,488 EGP",15809.000796609962,https://example.com/property/571
Property 572,Townhouse,Unknown,Maadi,Suez,442 sqm,2,3,"5,695,371 EGP",30972.59753360484,https://example.com/property/572
Property 573,Apartment,Fully Finished,Giza,Cairo,422 sqm,5,2,"7,287,366 EGP",48518.31978594518,https://example.com/property/573
Property 574,Villa,Unknown,Maadi,Cairo,147 sqm,5,4,"4,723,962 EGP",34307.42564203244,https://example.com/property/574
Property 575,Apartment,Unknown,Giza,Giza,414 sqm,1,1,"757,270 EGP",49335.488818422906,https://example.com/property/575
Property 576,Apartment,Fully Finished,Maadi,North Coast,403 sqm,4,3,"4,768,047 EGP",43644.292357554805,https://example.com/property/576
Property 577,Villa,Unknown,Cairo,Cairo,334 sqm,2,2,"3,316,226 EGP",11438.630248536512,https://example.com/property/577
Property 578,Apartment,Unknown,Cairo,North Coast,218 sqm,3,2,"9,331,671 EGP",36335.98381508167,https://example.com/property/578
Property 579,Villa,Fully Finished,Cairo,Giza,172 sqm,3,2,"1,683,827 EGP",21470.67510231535,https://example.com/property/579
Property 580,Apartment,Fully Finished,Cairo,North Coast,154 sqm,1,1,"6,698,521 EGP",32384.674225788953,https://example.com/property/580
Property 581,Townhouse,Fully Finished,Cairo,North Coast,193 sqm,2,3,"1,000,837 EGP",21173.80763724906,https://example.com/property/581
Property 582,Townhouse,Semi Finished,Cairo,North Coast,456 sqm,2,1,"4,738,619 EGP",23954.816664211616,https://example.com/property/582
Property 583,Apartment,Semi Finished,Giza,North Coast,84 sqm,1,1,"5,762,805 EGP",46926.74847016717,https://example.com/property/583
Property 584,Apartment,Fully Finished,Sheikh Zayed,Giza,422 sqm,2,1,"3,330,571 EGP",18265.72739566821,https://example.com/property/584
Property 585,Apartment,Fully Finished,Maadi,Cairo,207 sqm,4,4,"4,823,218 EGP",44964.36472103322,https://example.com/property/585
Property 586,Townhouse,Fully Finished,Cairo,Suez,284 sqm,1,4,"2,053,761 EGP",11218.312322819873,https://example.com/property/586
Property 587,Apartment,Semi Finished,Giza,North Coast,407 sqm,4,4,"3,389,176 EGP",13635.061534785935,https://example.com/property/587
Property 588,Townhouse,Semi Finished,Giza,Cairo,447 sqm,2,3,"6,400,510 EGP",44187.00165537054,https://example.com/property/588
Property 589,Villa,Unknown,Giza,Cairo,205 sqm,1,1,"3,367,100 EGP",35222.241236367816,https://example.com/property/589
Property 590,Townhouse,Unknown,Sheikh Zayed,Giza,257 sqm,2,1,"9,047,559 EGP",39889.445521582005,https://example.com/property/590
Property 591,Townhouse,Fully Finished,Maadi,Cairo,236 sqm,1,4,"6,469,866 EGP",18376.70683287417,https://example.com/property/591
Property 592,Villa,Semi Finished,Sheikh Zayed,Giza,55 sqm,2,1,"4,667,165 EGP",31483.33822360414,https://example.com/property/592
Property 593,Townhouse,Semi Finished,New Cairo,North Coast,183 sqm,4,1,"868,190 EGP",39488.76894285219,https://example.com/property/593
Property 594,Apartment,Semi Finished,Giza,North Coast,256 sqm,4,2,"5,245,709 EGP",35092.5654804105,https://example.com/property/594
Property 595,Apartment,Fully Finished,New Cairo,Suez,234 sqm,2,1,"7,765,374 EGP",28867.95067564838,https://example.com/property/595
Property 596,Townhouse,Unknown,Cairo,Suez,374 sqm,1,2,"3,022,797 EGP",48391.351457508594,https://example.com/property/596
Property 597,Apartment,Fully Finished,Cairo,Suez,223 sqm,3,1,"8,164,348 EGP",37046.29333813781,https://example.com/property/597
Property 598,Townhouse,Unknown,Sheikh Zayed,Cairo,270 sqm,4,3,"2,892,164 EGP",46310.03200964951,https://example.com/property/598
Property 599,Apartment,Unknown,Maadi,North Coast,243 sqm,4,4,"8,325,590 EGP",39190.820462947246,https://example.com/property/599
Property 600,Apartment,Fully Finished,New Cairo,Giza,383 sqm,3,2,"1,310,049 EGP",39418.54114390732,https://example.com/property/600
Property 601,Townhouse,Unknown,Maadi,Suez,438 sqm,2,4,"8,728,745 EGP",13200.730790307174,https://example.com/property/601
Property 602,Apartment,Unknown,Sheikh Zayed,Giza,289 sqm,1,2,"5,242,271 EGP",24378.584874157743,https://example.com/property/602
Property 603,Townhouse,Semi Finished,Cairo,Giza,405 sqm,2,2,"3,317,107 EGP",44334.776268786336,https://example.com/property/603
Property 604,Apartment,Unknown,Maadi,Suez,183 sqm,5,2,"3,018,575 EGP",19304.15448595024,https://example.com/property/604
Property 605,Apartment,Fully Finished,Maadi,North Coast,293 sqm,4,3,"4,604,100 EGP",14620.234646258647,https://example.com/property/605
Property 606,Villa,Fully Finished,Cairo,Suez,205 sqm,5,1,"9,990,970 EGP",23044.242265551737,https://example.com/property/606
Property 607,Villa,Unknown,New Cairo,Giza,236 sqm,4,2,"2,593,110 EGP",18817.51539570456,https://example.com/property/607
Property 608,Townhouse,Semi Finished,Cairo,Suez,379 sqm,4,3,"1,480,558 EGP",47011.52779172621,https://example.com/property/608
Property 609,Villa,Semi Finished,Maadi,Giza,446 sqm,5,2,"6,057,834 EGP",44718.66568008524,https://example.com/property/609
Property 610,Townhouse,Unknown,New Cairo,Giza,104 sqm,5,1,"5,141,153 EGP",29987.329211316166,https://example.com/property/610
Property 611,Villa,Unknown,New Cairo,Suez,335 sqm,2,2,"5,479,864 EGP",12453.75497935472,https://example.com/property/611
Property 612,Apartment,Fully Finished,Cairo,Cairo,311 sqm,5,3,"6,835,886 EGP",38582.493843726246,https://example.com/property/612
Property 613,Townhouse,Unknown,Maadi,Suez,103 sqm,2,1,"3,037,868 EGP",34936.46925345059,https://example.com/property/613
Property 614,Townhouse,Semi Finished,Sheikh Zayed,Cairo,145 sqm,2,3,"9,151,317 EGP",48822.186829139835,https://example.com/property/614
Property 615,Apartment,Unknown,Maadi,Giza,189 sqm,2,1,"4,638,884 EGP",32358.12961081508,https://example.com/property/615
Property 616,Townhouse,Fully Finished,Giza,Giza,125 sqm,4,1,"1,726,318 EGP",23455.748936116375,https://example.com/property/616
Property 617,Townhouse,Fully Finished,Sheikh Zayed,Cairo,159 sqm,4,4,"7,551,838 EGP",30760.86774314223,https://example.com/property/617
Property 618,Villa,Fully Finished,New Cairo,Giza,170 sqm,5,4,"6,609,491 EGP",49170.531656180654,https://example.com/property/618
Property 619,Townhouse,Fully Finished,Sheikh Zayed,Cairo,201 sqm,4,4,"3,499,562 EGP",37854.49730132122,https://example.com/property/619
Property 620,Apartment,Fully Finished,New Cairo,Cairo,387 sqm,5,1,"6,404,427 EGP",36879.04551708205,https://example.com/property/620
Property 621,Villa,Unknown,New Cairo,Giza,307 sqm,4,2,"2,588,688 EGP",19627.263589035414,https://example.com/property/621
Property 622,Villa,Unknown,Sheikh Zayed,North Coast,493 sqm,1,3,"4,725,973 EGP",39744.10070242471,https://example.com/property/622
Property 623,Apartment,Unknown,New Cairo,Cairo,236 sqm,1,3,"9,044,418 EGP",40010.87317887087,https://example.com/property/623
Property 624,Apartment,Unknown,New Cairo,Suez,389 sqm,5,3,"1,768,575 EGP",22691.559351036212,https://example.com/property/624
Property 625,Villa,Fully Finished,Giza,Suez,442 sqm,4,4,"4,173,616 EGP",29348.553295628528,https://example.com/property/625
Property 626,Townhouse,Semi Finished,Maadi,Giza,355 sqm,4,1,"8,300,853 EGP",21784.13331761824,https://example.com/property/626
Property 627,Villa,Unknown,Maadi,North Coast,235 sqm,2,4,"9,710,163 EGP",20348.202812971467,https://example.com/property/627
Property 628,Apartment,Semi Finished,Giza,Giza,389 sqm,3,2,"4,812,298 EGP",11035.842809979406,https://example.com/property/628
Property 629,Villa,Unknown,Sheikh Zayed,North Coast,141 sqm,5,1,"5,316,496 EGP",21408.469786133282,https://example.com/property/629
Property 630,Apartment,Unknown,Cairo,Cairo,197 sqm,3,3,"5,935,633 EGP",32158.797995130994,https://example.com/property/630
Property 631,Villa,Semi Finished,Cairo,Cairo,296 sqm,3,4,"9,357,307 EGP",10064.047501961153,https://example.com/property/631
Property 632,Townhouse,Fully Finished,Cairo,Cairo,308 sqm,5,4,"8,652,964 EGP",21328.763352386697,https://example.com/property/632
Property 633,Villa,Unknown,Giza,Cairo,59 sqm,4,2,"2,120,710 EGP",45256.41329293,https://example.com/property/633
